nombre,iniciales_equipo,edad,altura_cm,peso_kg,pais,part_jug,pts,reb,ast,blk,stl,pct_tiro,temporada
Aron Baynes,PHX,33.0,208.28,117.93392,Australia,40,11.3,5.7,1.6,0.0,0.0,0.589,2019-20
Austin Rivers,HOU,27.0,190.5,90.7184,USA,58,8.5,2.4,1.6,0.0,0.0,0.535,2019-20
Avery Bradley,LAL,29.0,190.5,81.64656,USA,47,8.3,2.3,1.3,0.0,0.0,0.532,2019-20
Cedi Osman,CLE,24.0,200.66,104.32616,Turkey,63,11.0,3.5,2.3,0.0,0.0,0.5579999999999999,2019-20
Dillon Brooks,MEM,24.0,200.66,102.0582,Canada,64,15.6,3.3,2.0,0.0,0.0,0.507,2019-20
Chandler Hutchison,CHI,23.0,200.66,95.25431999999999,USA,28,7.8,3.9,0.9,0.0,0.0,0.521,2019-20
Charles Brown Jr.,ATL,23.0,198.12,90.264808,USA,10,2.0,0.4,0.2,0.0,0.0,0.472,2019-20
Darius Garland,CLE,20.0,185.42,87.089664,USA,59,12.3,1.9,3.9,0.0,0.0,0.498,2019-20
Daryl Macon,MIA,24.0,187.96,83.91452,USA,4,0.8,0.0,0.3,0.0,0.0,0.5,2019-20
David Nwaba,BKN,27.0,195.58,99.336648,USA,20,5.2,2.3,0.4,0.0,0.0,0.627,2019-20
Davis Bertans,WAS,27.0,208.28,102.0582,Latvia,52,15.3,4.6,1.7,0.0,0.0,0.625,2019-20
De'Aaron Fox,SAC,22.0,190.5,83.91452,USA,44,20.3,4.0,6.8,0.0,0.0,0.5529999999999999,2019-20
De'Andre Hunter,ATL,22.0,200.66,102.0582,USA,61,12.3,4.4,1.8,0.0,0.0,0.516,2019-20
De'Anthony Melton,MEM,21.0,187.96,90.7184,USA,51,8.1,3.6,3.0,0.0,0.0,0.53,2019-20
DeAndre Jordan,BKN,31.0,210.82,120.20188,USA,54,8.3,9.9,1.9,0.0,0.0,0.684,2019-20
